Building:,304 Elm,YUAG,Berkeley College,Grace Hopper College,Davenport College,Malone Engineering,Sprague Hall,Trumbull College,17 Hillhouse Ave.
units:,ton-hrs,ton-hrs,tons,ton-hrs,MBTU,MBTU,MBTU,ton-hrs,ton-hrs
01-Jan-18 01:00:00,75075,23003231,36.89,905841,4301483,36028108,2818198,2126822,14303031
01-Jan-18 02:00:00,75076,23003334,32.89,905846,4301562,36028408,2818266,2126842,14303227
01-Jan-18 03:00:00,75078,23003442,34.31,905850,4301635,36028696,2818333,2126863,14303420
01-Jan-18 04:00:00,75080,23003545,29.78,905855,4301709,36028992,2818395,2126882,14303614
01-Jan-18 05:00:00,75081,23003647,35.91,905859,4301783,36029272,2818455,2126901,14303804
01-Jan-18 06:00:00,75083,23003751,34.60,905863,4301858,36029544,2818516,2126921,14303998
01-Jan-18 07:00:00,75085,23003860,30.48,905868,4301936,36029840,2818577,2126940,14304190
01-Jan-18 08:00:00,75087,23003961,27.91,905872,4302012,36030136,2818638,2126960,14304384
01-Jan-18 09:00:00,75088,23004111,27.96,905876,4302105,36030432,2818700,2126980,14304583
01-Jan-18 10:00:00,75090,23004290,29.63,905881,4302184,36030712,2818761,2127001,14304783
01-Jan-18 11:00:00,75092,23004443,28.55,905885,4302266,36030992,2818821,2127022,14304989
01-Jan-18 12:00:00,75094,23004558,35.31,905890,4302342,36031272,2818882,2127043,14305202
01-Jan-18 13:00:00,75095,23004680,34.32,905894,4302418,36031556,2818942,2127063,14305418
01-Jan-18 14:00:00,75097,23004845,28.06,905898,4302489,36031844,2819002,2127084,14305634
01-Jan-18 15:00:00,75099,23005000,35.13,905903,4302560,36032120,2819062,2127105,14305856
01-Jan-18 16:00:00,75101,23005108,33.45,905907,4302635,36032400,2819129,2127126,14306073
01-Jan-18 17:00:00,75102,23005216,33.58,905912,4302714,36032680,2819198,2127148,14306290
01-Jan-18 18:00:00,75104,23005324,38.05,905917,4302793,36032960,2819267,2127169,14306502
01-Jan-18 19:00:00,75106,23005423,29.75,905921,4302872,36033256,2819334,2127190,14306708
01-Jan-18 20:00:00,75108,23005510,38.29,905926,4302948,36033552,2819398,2127211,14306910
01-Jan-18 21:00:00,75110,23005598,38.43,905930,4303025,36033848,2819463,2127232,14307112
01-Jan-18 22:00:00,75111,23005687,32.61,905935,4303098,36034144,2819523,2127253,14307310
01-Jan-18 23:00:00,75113,23005781,36.35,905939,4303178,36034440,2819583,2127274,14307511
02-Jan-18 00:00:00,75115,23005872,32.47,905944,4303253,36034736,2819643,2127295,14307708
02-Jan-18 01:00:00,75117,23005959,35.23,905948,4303327,36035036,2819690,2127315,14307909
02-Jan-18 02:00:00,75118,23006053,35.78,905952,4303406,36035336,2819737,2127336,14308107
02-Jan-18 03:00:00,75120,23006155,36.29,905957,4303481,36035632,2819783,2127357,14308310
02-Jan-18 04:00:00,75122,23006250,36.05,905961,4303554,36035916,2819830,2127377,14308511
02-Jan-18 05:00:00,75124,23006343,33.41,905965,4303634,36036208,2819876,2127398,14308715
02-Jan-18 06:00:00,75125,23006439,35.12,905970,4303712,36036496,2819922,2127418,14308921
02-Jan-18 07:00:00,75127,23006545,32.38,905974,4303786,36036784,2819968,2127439,14309134
02-Jan-18 08:00:00,75129,23006627,33.82,905978,4303862,36037072,2819998,2127460,14309361
02-Jan-18 09:00:00,75130,23006716,32.73,905983,4303941,36037352,2820027,2127481,14309595
02-Jan-18 10:00:00,75132,23006868,40.61,905987,4304020,36037640,2820056,2127502,14309834
02-Jan-18 11:00:00,75134,23007034,37.93,905991,4304104,36037936,2820082,2127523,14310077
02-Jan-18 12:00:00,75136,23007184,40.74,905996,4304174,36038220,2820113,2127544,14310320
02-Jan-18 13:00:00,75137,23007334,42.11,906001,4304252,36038504,2820144,2127565,14310566
02-Jan-18 14:00:00,75139,23007505,41.02,906006,4304324,36038796,2820183,2127585,14310810
02-Jan-18 15:00:00,75141,23007653,39.18,906011,4304396,36039116,2820230,2127606,14311033
02-Jan-18 16:00:00,75142,23007748,33.84,906016,4304471,36039408,2820276,2127626,14311251
02-Jan-18 17:00:00,75144,23007868,34.30,906021,4304548,36039696,2820322,2127646,14311467
02-Jan-18 18:00:00,75146,23008020,36.14,906027,4304624,36039976,2820368,2127666,14311681
02-Jan-18 19:00:00,75147,23008093,37.39,906032,4304703,36040248,2820417,2127687,14311888
02-Jan-18 20:00:00,75149,23008139,40.34,906037,4304788,36040536,2820464,2127708,14312091
02-Jan-18 21:00:00,75151,23008180,41.59,906042,4304865,36040824,2820512,2127730,14312294
02-Jan-18 22:00:00,75153,23008222,41.10,906047,4304947,36041104,2820560,2127752,14312482
02-Jan-18 23:00:00,75154,23008258,34.69,906052,4305034,36041372,2820605,2127773,14312665
03-Jan-18 00:00:00,75156,23008295,41.12,906057,4305116,36041656,2820666,2127793,14312850
