,YUAG,,Berkeley,,Hopper,,304Elm,,Davenport,,38HH,,320Temple,,53Wall,,Sprague,,Malone,,Trumbull,,17HH,
Mon 01/01/18 00:00,,7929946.5,,7241231.2,,2766963.5,,1109119.8,,4306847.8,,3164052.8,,94018.2,,3024576.8,,358345.5,,6543549.3,,4441711.2,,8929603.5
Mon 01/01/18 01:00,157.1,7930103.6,69.6,7241300.8,87.6,2767051.1,4.6,1109124.4,95,4306942.8,3.1,3164055.9,1.7,94019.9,-530770.5,2493806.4,34,358379.5,111.3,6543660.7,54.6,4441765.7,-1510122.1,7419481.4
Mon 01/01/18 02:00,153.2,7930256.8,58.9,7241359.7,74.6,2767125.7,4.6,1109129,92.9,4307035.7,2.6,3164058.5,1.9,94021.8,530802.8,3024609.2,31.7,358411.2,110.2,6543770.8,52.3,4441818,1510424.2,8929905.7
Mon 01/01/18 03:00,169.3,7930426.2,63.7,7241423.3,79.7,2767205.3,4.8,1109133.8,102.2,4307137.8,3.3,3164061.8,2,94023.8,16.2,3024625.3,32.3,358443.5,121.2,6543892,60.8,4441878.8,150.2,8930055.8
Mon 01/01/18 04:00,171.8,7930598,63.2,7241486.5,78.8,2767284.2,5,1109138.8,99.8,4307237.7,3.2,3164065,1.8,94025.7,16.3,3024641.7,32.3,358475.8,118.3,6544010.3,61.5,4441940.3,149.2,8930205
Mon 01/01/18 05:00,172.2,7930770.2,63,7241549.5,79,2767363.2,4.8,1109143.7,101,4307338.7,3,3164068,2.2,94027.8,16.7,3024658.3,32.5,358508.3,120.3,6544130.7,59.2,4441999.5,149.5,8930354.5
Mon 01/01/18 06:00,168.8,7930939,63.5,7241613,80.7,2767443.8,5,1109148.7,100.8,4307439.5,3,3164071,2,94029.8,16.2,3024674.5,32.2,358540.5,119.5,6544250.2,61.7,4442061.2,149,8930503.5
Mon 01/01/18 07:00,168.8,7931107.8,63,7241676,78.7,2767522.5,5,1109153.7,100.8,4307540.3,3.5,3164074.5,2,94031.8,15.8,3024690.3,32.3,358572.8,118,6544368.2,63.3,4442124.5,149.5,8930653
Mon 01/01/18 08:00,172.2,7931280,69.8,7241745.8,80,2767602.5,4.7,1109158.3,101.5,4307641.8,3,3164077.5,2.2,94034,16.3,3024706.7,32.3,358605.2,120.8,6544489,60.3,4442184.8,150.2,8930803.2
Mon 01/01/18 09:00,201,7931481,78.7,7241824.5,80.5,2767683,5.2,1109163.5,99.5,4307741.3,3,3164080.5,2.2,94036.2,15.7,3024722.3,31.5,358636.7,125.8,6544614.8,59.7,4442244.5,154.3,8930957.5
Mon 01/01/18 10:00,245.8,7931726.8,78.3,7241902.8,78,2767761,5.3,1109168.8,100,4307841.3,3,3164083.5,2,94038.2,16,3024738.3,31,358667.7,120.2,6544735,58.3,4442302.8,154.2,8931111.7
Mon 01/01/18 11:00,222.3,7931949.2,77.7,7241980.5,77.8,2767838.8,4.5,1109173.3,100.8,4307942.2,3.2,3164086.7,2.2,94040.3,16.3,3024754.7,31,358698.7,125.8,6544860.8,58.7,4442361.5,155.2,8931266.8
Mon 01/01/18 12:00,220.2,7932169.3,78,7242058.5,81,2767919.8,5.8,1109179.2,102.8,4308045,3.3,3164090,2.2,94042.5,16.7,3024771.3,31.2,358729.8,125.5,6544986.3,61.8,4442423.3,157.7,8931424.5
Mon 01/01/18 13:00,220.7,7932390,78,7242136.5,78.3,2767998.2,5,1109184.2,105,4308150,2.7,3164092.7,1.7,94044.2,16.7,3024788,30.3,358760.2,134.2,6545120.5,62.3,4442485.7,159.5,8931584
Mon 01/01/18 14:00,198,7932588,78.5,7242215,78.5,2768076.7,4.8,1109189,105.2,4308255.2,3.3,3164096,2,94046.2,16.7,3024804.7,29.5,358789.7,132.2,6545252.7,58.5,4442544.2,162.8,8931746.8
Mon 01/01/18 15:00,196.3,7932784.3,78.7,7242293.7,77.8,2768154.5,5,1109194,106.7,4308361.8,3,3164099,2.3,94048.5,16.8,3024821.5,28.3,358818,127,6545379.7,56.2,4442600.3,168,8931914.8
Mon 01/01/18 16:00,197,7932981.3,79.3,7242373,74.7,2768229.2,4.8,1109198.8,106.2,4308468,3.3,3164102.3,2.2,94050.7,16.7,3024838.2,32,358850,131.3,6545511,56.7,4442657,172.2,8932087
Mon 01/01/18 17:00,197.5,7933178.8,78.7,7242451.7,76.8,2768306,5,1109203.8,102.2,4308570.2,3.2,3164105.5,2.2,94052.8,16.2,3024854.3,30.2,358880.2,137.5,6545648.5,58,4442715,165,8932252
Mon 01/01/18 18:00,197.2,7933376,79,7242530.7,81.7,2768387.7,4.8,1109208.7,102.7,4308672.8,3.5,3164109,2.3,94055.2,16.5,3024870.8,31.8,358912,138,6545786.5,62.7,4442777.7,167.2,8932419.2
Mon 01/01/18 19:00,178.2,7933554.2,77.8,7242608.5,80,2768467.7,5,1109213.7,104.7,4308777.5,3.5,3164112.5,2,94057.2,16.5,3024887.3,32.3,358944.3,130.3,6545916.8,64.8,4442842.5,167.2,8932586.3
