,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,cluster3,cluster3,cluster3,clustersum,clustersum,clustersum
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-11 10:00:00,14735.62,14639.365479892218,14689.192,2342.13,2277.6812370312828,2381.651,2052.9700000000003,2006.9515743146053,2033.9178,10340.519999999997,10448.764911054086,10385.275,29471.239999999998,29372.76320229219,29490.037
2015-11-11 11:00:00,14799.8,14829.687930931961,14826.66,2340.78,2336.505122001643,2379.5828,1989.6299999999999,1959.5144518775576,1991.6006,10469.390000000003,10634.490642744622,10762.929,29599.600000000002,29760.19814755578,29960.773
2015-11-11 12:00:00,15202.52,15183.976551897544,15465.049,2333.36,2280.30349384548,2398.234,1945.57,1931.209905499806,1976.0786,10923.59,11042.002681967218,11323.482,30405.04,30437.49263321005,31162.844
2015-11-11 13:00:00,15889.7225,15930.861152156242,16048.199,2342.2200000000003,2296.6940014426937,2372.9172,1981.98,1966.613683483855,1959.9038,11565.522499999997,11718.091494946475,11831.888,31779.445,31912.260332029266,32212.91
2015-11-11 14:00:00,15668.83,16482.56751042017,16519.557,2334.7400000000002,2344.8652307092907,2395.998,1945.6,1988.4103668413286,1988.0859,11388.490000000002,12205.866075501788,12565.18,31337.66,33021.70918347257,33468.82
2015-11-11 15:00:00,15842.8975,17087.033292004184,17435.783,2302.0299999999997,2329.715870745702,2422.6533,1898.9199999999998,2035.2936738464737,2043.9475,11641.9475,12783.495954398251,13221.927,31685.795,34235.538790994615,35124.312
2015-11-11 16:00:00,16009.16,17903.151964781326,18194.602,2241.1,2367.513933440857,2409.013,1912.7200000000003,2140.872593922359,2109.3684,11855.34,13464.369464356972,13866.462,32018.32,35875.90795650151,36579.445
2015-11-11 17:00:00,16023.48,18347.082799012354,18786.883,2238.4,2264.7535435370287,2381.127,1997.0,2262.758168834539,2183.3271,11788.08,13854.77755795687,14397.912,32046.96,36729.372069340796,37749.25
2015-11-11 18:00:00,16163.509999999998,18743.74997969837,19074.305,2273.56,2395.021225433233,2383.4468,2117.9799999999996,2388.1997750815076,2281.4927,11771.97,14058.755190622072,14752.993,32327.019999999997,37585.72617083518,38492.24
2015-11-11 19:00:00,16212.14,18923.02800523625,19149.287,2254.66,2397.1517371187483,2356.259,2180.1,2421.2557602869847,2318.635,11777.379999999997,14174.466397349675,14771.422,32424.279999999995,37915.90189999166,38595.6
2015-11-11 20:00:00,16307.06,18978.654432473937,19176.686,2267.8799999999997,2292.1672356655854,2365.4375,2277.63,2493.8588716605127,2391.2646,11761.549999999997,14230.540992202687,14544.788,32614.119999999995,37995.22153200272,38478.176
2015-11-11 21:00:00,16438.809999999998,19002.000036850564,19220.373,2286.37,2295.369171164672,2340.9224,2344.09,2505.7018763878746,2389.2378,11808.350000000002,14232.11091096196,14602.479,32877.619999999995,38035.18199536507,38553.01
2015-11-11 22:00:00,16361.12,18978.195889072358,19271.45,2322.31,2366.5376363384444,2353.5237,2404.57,2494.9955985896227,2424.6592,11634.239999999998,14149.898324983256,14409.641,32722.239999999998,37989.62744898368,38459.273
2015-11-11 23:00:00,16481.920000000002,18779.849165956402,19057.965,2386.07,2395.5275554964383,2356.4014,2491.01,2517.0294621053754,2462.2087,11604.839999999998,13899.703239227427,14028.255,32963.84,37592.109422785645,37904.832
2015-11-12 00:00:00,16496.49,18243.18991667205,18406.617,2441.81,2412.770294953174,2349.9524,2590.53,2604.8693159911513,2498.7263,11464.15,13319.766840054965,13583.976,32992.98,36580.59636767134,36839.273
2015-11-12 01:00:00,16473.440000000002,17734.293317269858,17740.96,2397.39,2388.6058118820247,2363.3264,2640.9799999999996,2653.118721827214,2550.8894,11435.07,12783.277426096538,12951.589,32946.880000000005,35559.29527707564,35606.766
2015-11-12 02:00:00,16439.510000000002,17435.755672625724,17492.576,2398.6,2378.80201513862,2340.383,2651.1600000000008,2662.9816911236094,2622.2275,11389.750000000002,12463.597588388011,12446.138,32879.020000000004,34941.13696727596,34901.324
2015-11-12 03:00:00,16235.359999999999,17015.945104913684,17033.55,2430.1,2353.8107225689682,2364.489,2647.1400000000003,2661.4058324468533,2636.4343,11158.119999999999,12084.590641889166,11913.935,32470.719999999998,34115.75230181867,33948.406
2015-11-12 04:00:00,16052.07,16512.19390217916,16404.924,2465.34,2356.8554429596397,2351.0317,2596.1899999999996,2587.273063507328,2588.0837,10990.540000000003,11652.74214660769,11534.354,32104.14,33109.06455525382,32878.39
2015-11-12 05:00:00,15460.25,15806.177199695527,15745.961,2390.55,2353.1648993891436,2381.3042,2530.47,2481.920316853428,2564.176,10539.23,11048.97445334474,10856.378,30920.5,31690.23686928284,31547.82
2015-11-12 06:00:00,15011.64,15306.791463141399,15198.691,2378.81,2347.6293775141517,2382.1975,2480.58,2393.6495394352546,2493.2844,10152.250000000002,10647.980830419223,10372.963,30023.28,30696.051210510028,30447.137
2015-11-12 07:00:00,14825.98,15042.397271285332,14775.624,2369.73,2369.018781932547,2392.843,2382.2500000000005,2371.7387204091774,2363.3818,10074.000000000004,10439.65974892053,10112.037,29651.960000000003,30222.81452254759,29643.885
2015-11-12 08:00:00,14682.349999999999,14910.319315011677,14606.548,2362.27,2373.7742356816757,2373.8823,2213.3300000000004,2273.17588434421,2212.3977,10106.75,10386.072199111728,10033.396,29364.7,29943.341634149292,29226.225
2015-11-12 09:00:00,14810.699999999999,14934.317296597897,14620.069,2378.74,2350.515245309864,2384.153,2095.1299999999997,2146.273027026356,2099.903,10336.83,10535.576223942395,10376.009,29621.4,29966.681792876516,29480.133
2015-11-12 10:00:00,14790.13,14745.648431021826,14604.877,2368.09,2293.605260203748,2379.7566,2023.21,1998.315424550949,2043.6941,10398.83,10562.282753913812,10427.585,29580.260000000002,29599.851869690337,29455.91
2015-11-12 11:00:00,14942.810000000001,14945.601759193112,14742.796,2380.35,2351.0629739979263,2349.9194,1964.04,1950.664508564357,1958.1055,10598.419999999998,10766.821074092972,10622.708,29885.62,30014.15031584837,29673.527
2015-11-12 12:00:00,15596.64,15295.876492757865,15207.925,2376.0299999999997,2307.0060250710517,2349.593,1958.3999999999996,1921.8005563737868,1955.751,11262.210000000001,11150.722368165307,11002.441,31193.28,30675.405442368006,30515.71
2015-11-12 13:00:00,16622.675,15963.429432844601,15888.07,2375.73,2345.640407218394,2341.2,2015.73,1960.4233256622429,1960.485,12231.215000000002,11734.64706921555,11658.021,33245.35,32004.140234940787,31847.775
2015-11-12 14:00:00,16993.0425,16452.570308365583,16411.168,2379.91,2384.4823730452667,2349.744,2004.87,1986.7933503660288,1982.0476,12608.262499999999,12168.94131298574,12459.963,33986.085,32992.78734476262,33202.92
2015-11-12 15:00:00,18036.984999999997,17071.670498614094,17299.574,2374.7400000000002,2373.743017888743,2324.7761,2019.81,2026.0863134595754,2043.0094,13642.435,12765.204804683528,13182.832,36073.97,34236.70463464594,34850.19
2015-11-12 16:00:00,18972.59,17823.148728230262,18079.025,2329.93,2413.669003760544,2348.5203,2131.0499999999997,2131.5114528805098,2101.81,14511.610000000002,13400.148061437632,13946.348,37945.18,35768.47724630895,36475.703
