,aggregate_actual,aggregate_sarimax,cluster1_actual,cluster1_sarimax
2015-10-29 10:00:00,14848.61,15388.00488303898,14848.61,15388.00488303898
2015-10-29 11:00:00,14918.310000000001,15421.936444178458,14918.310000000001,15421.936444178458
2015-10-29 12:00:00,15232.240000000002,15857.050002033531,15232.240000000002,15857.050002033531
2015-10-29 13:00:00,16030.400000000001,16306.19373592562,16030.400000000001,16306.19373592562
2015-10-29 14:00:00,16435.449999999997,16576.041845868764,16435.449999999997,16576.041845868764
2015-10-29 15:00:00,17479.93,17450.04287960754,17479.93,17450.04287960754
2015-10-29 16:00:00,18634.42,18274.785211998926,18634.42,18274.785211998926
2015-10-29 17:00:00,19466.57,18760.346916353705,19466.57,18760.346916353705
2015-10-29 18:00:00,19730.01,19112.935809292772,19730.01,19112.935809292772
2015-10-29 19:00:00,19869.449999999997,19351.708701502936,19869.449999999997,19351.708701502936
2015-10-29 20:00:00,19893.06,19399.421642176272,19893.06,19399.421642176272
2015-10-29 21:00:00,19860.33,19510.48863853441,19860.33,19510.48863853441
2015-10-29 22:00:00,19718.92,19489.427436548085,19718.92,19489.427436548085
2015-10-29 23:00:00,19520.59,19296.897639293205,19520.59,19296.897639293205
2015-10-30 00:00:00,18870.71,18557.5346612203,18870.71,18557.5346612203
2015-10-30 01:00:00,18404.0,18052.955228619034,18404.0,18052.955228619034
2015-10-30 02:00:00,17861.94,17774.450981703714,17861.94,17774.450981703714
2015-10-30 03:00:00,17409.78,17399.863639617673,17409.78,17399.863639617673
2015-10-30 04:00:00,16953.02,16833.250238075692,16953.02,16833.250238075692
2015-10-30 05:00:00,16046.130000000001,16139.805492073388,16046.130000000001,16139.805492073388
2015-10-30 06:00:00,15493.03,15648.674649985513,15493.03,15648.674649985513
2015-10-30 07:00:00,15140.640000000001,15342.935115978651,15140.640000000001,15342.935115978651
2015-10-30 08:00:00,14873.08,15111.282284986533,14873.08,15111.282284986533
2015-10-30 09:00:00,15009.94,15041.66985881947,15009.94,15041.66985881947
2015-10-30 10:00:00,14865.789999999999,15255.186473088335,14865.789999999999,15255.186473088335
2015-10-30 11:00:00,14949.98,15368.632369127998,14949.98,15368.632369127998
2015-10-30 12:00:00,15328.210000000001,15712.446785105067,15328.210000000001,15712.446785105067
2015-10-30 13:00:00,16080.95,16259.783772884082,16080.95,16259.783772884082
2015-10-30 14:00:00,16508.87,16593.490291265418,16508.87,16593.490291265418
2015-10-30 15:00:00,17337.17,17365.607839424003,17337.17,17365.607839424003
2015-10-30 16:00:00,18184.27,18072.708173312993,18184.27,18072.708173312993
2015-10-30 17:00:00,18751.370000000003,18555.645676771328,18751.370000000003,18555.645676771328
2015-10-30 18:00:00,19037.5,18820.965973894414,19037.5,18820.965973894414
2015-10-30 19:00:00,19170.1,19004.809356064852,19170.1,19004.809356064852
2015-10-30 20:00:00,19218.42,19071.78270152462,19218.42,19071.78270152462
2015-10-30 21:00:00,19200.28,19170.840833321115,19200.28,19170.840833321115
2015-10-30 22:00:00,19120.28,19101.779429971724,19120.28,19101.779429971724
2015-10-30 23:00:00,18861.1,18858.252159682863,18861.1,18858.252159682863
