,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1
,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-02 10:00:00,14924.38,15498.696522342867,,14924.38,15498.696522342867,
2015-11-02 11:00:00,15247.77,15668.213482650162,,15247.77,15668.213482650162,
2015-11-02 12:00:00,15610.61,15956.372737809186,,15610.61,15956.372737809186,
2015-11-02 13:00:00,16276.25,16241.584822510891,,16276.25,16241.584822510891,
2015-11-02 14:00:00,16652.03,16402.55324845954,,16652.03,16402.55324845954,
2015-11-02 15:00:00,17470.54,16699.315443848125,,17470.54,16699.315443848125,
2015-11-02 16:00:00,18374.2,17057.185278053665,,18374.2,17057.185278053665,
2015-11-02 17:00:00,19029.86,17321.559197892337,,19029.86,17321.559197892337,
2015-11-02 18:00:00,19367.94,17570.00639093334,,19367.94,17570.00639093334,
2015-11-02 19:00:00,19659.54,17722.05215637257,,19659.54,17722.05215637257,
2015-11-02 20:00:00,19806.510000000002,17869.22139872698,,19806.510000000002,17869.22139872698,
2015-11-02 21:00:00,19916.85,17945.076385312652,,19916.85,17945.076385312652,
2015-11-02 22:00:00,19880.219999999998,17973.505474405567,,19880.219999999998,17973.505474405567,
2015-11-02 23:00:00,19547.75,17860.78582607212,,19547.75,17860.78582607212,
2015-11-03 00:00:00,19000.29,17519.844609728552,,19000.29,17519.844609728552,
2015-11-03 01:00:00,18652.67,17421.686286156997,,18652.67,17421.686286156997,
2015-11-03 02:00:00,18079.440000000002,17224.944187417153,,18079.440000000002,17224.944187417153,
2015-11-03 03:00:00,17651.46,16918.764629219742,,17651.46,16918.764629219742,
2015-11-03 04:00:00,17014.0275,16587.264325038603,,17014.0275,16587.264325038603,
2015-11-03 05:00:00,16189.3825,16215.583620949123,,16189.3825,16215.583620949123,
2015-11-03 06:00:00,15922.189999999999,15891.647108954425,,15922.189999999999,15891.647108954425,
2015-11-03 07:00:00,15379.8,15660.803393878283,,15379.8,15660.803393878283,
2015-11-03 08:00:00,15029.250000000002,15499.076914258318,,15029.250000000002,15499.076914258318,
2015-11-03 09:00:00,15037.099999999999,15546.490789482827,,15037.099999999999,15546.490789482827,
2015-11-03 10:00:00,14890.78,15915.440183458673,,14890.78,15915.440183458673,
2015-11-03 11:00:00,14939.66,16061.965289363454,,14939.66,16061.965289363454,
2015-11-03 12:00:00,15330.29,16413.16205601609,,15330.29,16413.16205601609,
2015-11-03 13:00:00,16166.369999999999,16794.182305178507,,16166.369999999999,16794.182305178507,
2015-11-03 14:00:00,16543.53,16991.488320522392,,16543.53,16991.488320522392,
2015-11-03 15:00:00,17575.699999999997,17358.203676695684,,17575.699999999997,17358.203676695684,
2015-11-03 16:00:00,18503.33,17827.056867865915,,18503.33,17827.056867865915,
2015-11-03 17:00:00,19139.65,18194.593157292915,,19139.65,18194.593157292915,
2015-11-03 18:00:00,19460.230000000003,18286.626965271986,,19460.230000000003,18286.626965271986,
2015-11-03 19:00:00,19687.5,18436.047701373278,,19687.5,18436.047701373278,
2015-11-03 20:00:00,19899.8,18580.83488457699,,19899.8,18580.83488457699,
2015-11-03 21:00:00,20042.28,18638.493204528586,,20042.28,18638.493204528586,
2015-11-03 22:00:00,19937.864999999998,18761.829867430886,,19937.864999999998,18761.829867430886,
2015-11-03 23:00:00,19582.97,18616.35891530691,,19582.97,18616.35891530691,
