,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,cluster3,cluster3,cluster3
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-05 10:00:00,14869.0,14903.615933695115,14788.033,2437.93,2357.842105799513,2400.898,851.2199999999999,727.6714351521765,844.82513,11579.849999999999,11833.259599908997,11671.812
2015-11-05 11:00:00,14959.81,15066.803045033248,14845.651,2438.12,2386.045821831185,2387.969,837.1899999999999,743.4415953923909,856.6889,11684.5,11947.67911349666,11680.696
2015-11-05 12:00:00,15406.11,15474.327165574552,15247.053,2436.2000000000003,2391.4690424200785,2396.254,843.5,756.2894752926056,829.3324,12126.41,12346.159673977481,12161.439
2015-11-05 13:00:00,16557.03,16084.61048635014,15938.411,2432.94,2394.9384701130866,2378.0015,847.3299999999999,769.7560090927519,852.26166,13276.76,12949.380970996788,12627.074
2015-11-05 14:00:00,16986.595,16520.90644907511,16375.981,2415.74,2377.995718281105,2393.8342,884.86,793.5409032497695,877.3093,13685.995000000003,13380.191062904023,13473.889
2015-11-05 15:00:00,17958.68,17293.000718352087,17326.873,2371.52,2376.55147051549,2388.4197,882.9000000000001,802.6131139128477,877.16156,14704.26,14136.542990511878,14162.526
2015-11-05 16:00:00,18570.08,18071.22614861795,18200.457,2258.41,2372.12908794164,2384.5327,838.7299999999999,801.5940180757408,841.8564,15472.94,14914.130064144883,15212.628
2015-11-05 17:00:00,19164.78,18548.466156945917,18848.027,2357.56,2353.1817819939747,2381.5933,824.88,789.920937788157,812.5037,15982.34,15409.093286848509,15848.878
2015-11-05 18:00:00,19346.909999999996,18848.307396212986,19330.186,2264.92,2390.954819493683,2389.9006,814.64,781.1768320449424,834.1218,16267.349999999999,15686.122960074406,16297.193
2015-11-05 19:00:00,19486.95,19073.199333026678,19509.664,2267.3199999999997,2424.0368172226085,2388.0642,805.6,764.3869553922876,825.3407,16414.030000000002,15900.665061147594,16516.678
2015-11-05 20:00:00,19575.190000000002,19114.239733045873,19493.17,2252.15,2356.214855508407,2405.794,798.0999999999999,762.2106797832588,813.39453,16524.94,15986.181357467314,16387.904
2015-11-05 21:00:00,19545.42,19180.965040945008,19596.455,2242.42,2374.5613521701575,2388.4768,803.31,767.0482608485281,803.3457,16499.690000000002,16031.291372605974,16618.092
2015-11-05 22:00:00,19537.329999999998,19084.12131181802,19528.207,2340.2799999999997,2319.0293109881445,2385.532,793.6899999999999,760.7508674368746,778.65826,16403.36,15979.813648280466,16440.889
2015-11-05 23:00:00,19364.18,18873.288794899123,19243.676,2401.6899999999996,2337.7899003418443,2396.1338,793.34,767.9488709746461,782.75006,16169.150000000001,15756.456311580034,16233.066
