,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,clustersum,clustersum,clustersum
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-17 10:00:00,15222.759999999998,15103.373348271229,15026.251,2727.05,2672.4021524868517,2693.3833,12495.71,12483.608583918149,12933.436,15222.759999999998,15156.010736405,15626.818
2015-11-17 11:00:00,15246.14,15358.175914261366,15675.867,2724.98,2684.868690638684,2699.3196,12521.160000000002,12726.724970607083,12462.652,15246.140000000001,15411.593661245766,15161.972
2015-11-17 12:00:00,15791.8725,15758.839482472484,15494.184,2732.6600000000003,2648.386052821352,2682.3164,13059.2125,13156.611641884132,13133.425,15791.8725,15804.997694705484,15815.741
2015-11-17 13:00:00,16983.2175,16612.594090184968,16210.203,2737.7299999999996,2700.5745877171507,2653.2124,14245.4875,13967.477225315051,14161.506,16983.2175,16668.0518130322,16814.719
2015-11-17 14:00:00,17504.809999999998,16985.53669940057,16654.734,2729.28,2682.8895078036953,2609.6614,14775.53,14351.909283463774,14497.799,17504.81,17034.79879126747,17107.46
2015-11-17 15:00:00,18365.2775,17767.1599060166,17239.01,2686.0,2659.9727690388286,2695.093,15679.277500000002,15143.8306313682,15120.001,18365.277500000004,17803.80340040703,17815.094
2015-11-17 16:00:00,19242.9525,18504.162346953006,17916.26,2655.05,2645.89648458715,2653.1262,16587.9025,15873.769117383174,15923.597,19242.9525,18519.665601970322,18576.723
2015-11-17 17:00:00,19399.112500000003,18786.3013271296,18572.89,2666.46,2524.981742848362,2657.8123,16732.652499999997,16230.919794259913,16521.166,19399.112499999996,18755.901537108275,19178.979
2015-11-17 18:00:00,19708.575,19053.310595460756,18761.174,2677.37,2661.1630672162332,2642.7134,17031.205,16399.28082949241,16382.478,19708.575,19060.443896708643,19025.191
2015-11-17 19:00:00,19634.0,19212.920042179197,19084.02,2657.64,2665.7209833385305,2671.5222,16976.359999999997,16551.478006931622,16805.23,19633.999999999996,19217.198990270153,19476.752
2015-11-17 20:00:00,19767.3275,19373.08260609682,19341.572,2682.71,2689.7705012687356,2679.7664,17084.6175,16690.19291750113,16701.947,19767.3275,19379.963418769865,19381.713
2015-11-17 21:00:00,19857.072500000002,19484.580771385034,19412.773,2716.12,2756.798976895333,2725.6477,17140.9525,16757.05468519889,16860.375,19857.0725,19513.853662094225,19586.023
2015-11-17 22:00:00,19893.5275,19381.484698048444,19345.139,2718.61,2744.4593850768606,2656.8293,17174.9175,16663.632516091304,16392.033,19893.5275,19408.091901168165,19048.863
2015-11-17 23:00:00,19668.589999999997,19351.622512296653,18820.45,2729.86,2783.3167807638606,2706.6223,16938.73,16603.165631132684,16105.649,19668.59,19386.482411896544,18812.271
2015-11-18 00:00:00,19160.050000000003,18499.49015927501,18888.625,2775.94,2736.9450332584,2725.1614,16384.11,15788.15532431651,16008.925,19160.05,18525.100357574913,18734.086
2015-11-18 01:00:00,18742.3825,18077.511873149084,18162.232,2806.27,2785.5525213413507,2726.166,15936.112500000001,15330.00006930748,15440.343,18742.3825,18115.55259064883,18166.508
2015-11-18 02:00:00,18256.68,17663.38642635485,17517.682,2775.54,2750.6070855985245,2699.6108,15481.140000000001,14939.411050675626,15351.912,18256.68,17690.01813627415,18051.523
2015-11-18 03:00:00,17921.66,17298.9768597043,17537.559,2766.1800000000003,2749.538126341701,2753.7275,15155.479999999998,14575.860157283125,15373.164,17921.659999999996,17325.398283624825,18126.89
2015-11-18 04:00:00,17342.31,16940.42316220742,16420.08,2736.71,2760.490054082402,2741.1714,14605.6,14208.771939403072,14237.765,17342.31,16969.261993485474,16978.936
2015-11-18 05:00:00,16487.77,16201.544094491439,16409.443,2739.7299999999996,2750.2846071174913,2750.2024,13748.04,13485.691817389408,13871.364,16487.77,16235.9764245069,16621.566
2015-11-18 06:00:00,15659.01,15687.23534475139,15979.959,2719.2,2755.2351067994778,2744.454,12939.810000000001,12970.94549338888,13266.704,15659.010000000002,15726.180600188356,16011.158
2015-11-18 07:00:00,15230.33,15392.653478280234,15835.606,2710.15,2749.7810276423747,2737.0676,12520.179999999998,12680.898461883306,12820.68,15230.329999999998,15430.67948952568,15557.747
2015-11-18 08:00:00,15032.32,15137.929183584452,15468.038,2712.8599999999997,2745.1377802690768,2733.793,12319.460000000001,12432.635133688394,12512.81,15032.32,15177.772913957471,15246.603
2015-11-18 09:00:00,15118.170000000002,15184.497090180126,15301.821,2723.3199999999997,2729.1052300183383,2658.036,12394.85,12495.498264067839,12567.137,15118.17,15224.603494086177,15225.173
2015-11-18 10:00:00,15114.74,15070.299382097604,15212.167,2712.1099999999997,2670.9930676736967,2655.3853,12402.630000000003,12451.606469001754,12645.639,15114.740000000002,15122.59953667545,15301.023
2015-11-18 11:00:00,15160.919999999998,15271.832466481568,15396.015,2706.1099999999997,2676.086267943657,2696.7983,12454.810000000001,12649.48919691406,12591.965,15160.920000000002,15325.575464857717,15288.764
2015-11-18 12:00:00,15809.9075,15637.908949780049,15501.431,2716.14,2638.912031159745,2666.7837,13093.767499999998,13044.419906959809,13106.878,15809.907499999998,15683.331938119554,15773.662
2015-11-18 13:00:00,16841.22,16305.46440493825,16056.169,2711.98,2674.591112237853,2688.7246,14129.24,13688.712093653008,13303.08,16841.22,16363.303205890861,15991.805
2015-11-18 14:00:00,17354.440000000002,16702.60475469325,16949.875,2711.81,2665.2054662893647,2657.04,14642.63,14087.72469560461,13760.333,17354.44,16752.930161893975,16417.373
2015-11-18 15:00:00,18077.122499999998,17446.24656293103,17253.031,2688.3999999999996,2662.1574685440423,2727.238,15388.7225,14819.141760894161,14554.482,18077.122499999998,17481.299229438202,17281.72
2015-11-18 16:00:00,18962.54,18191.053858700157,17501.281,2671.8399999999997,2672.6032299190374,2634.883,16290.700000000003,15527.923707146712,14938.975,18962.54,18200.526937065748,17573.857
2015-11-18 17:00:00,19275.66,18615.387484970226,17872.883,2653.03,2604.909672288187,2634.4182,16622.63,15963.922000572613,15038.201,19275.66,18568.8316728608,17672.62
2015-11-18 18:00:00,19491.149999999998,18861.726234009326,18407.492,2644.0899999999997,2697.14181896898,2705.3591,16847.06,16163.395196889314,15018.921,19491.15,18860.537015858295,17724.28
2015-11-18 19:00:00,19461.555,18972.45505379588,18202.547,2647.5699999999997,2695.2535176717174,2698.8303,16813.984999999997,16273.654209677572,15532.574,19461.554999999997,18968.907727349288,18231.404
2015-11-18 20:00:00,19515.22,19121.67416086687,18379.324,2662.16,2724.936349107804,2654.569,16853.06,16396.37425509602,15676.302,19515.22,19121.310604203823,18330.871
2015-11-18 21:00:00,19539.7775,19150.514107705138,18550.943,2670.94,2760.7412089700742,2708.4617,16868.837500000005,16417.015077074855,15372.953,19539.777500000004,19177.75628604493,18081.414
2015-11-18 22:00:00,19650.4575,19106.12935354225,18486.5,2712.2,2763.195930672785,2743.4355,16938.257500000003,16366.466639214064,15726.073,19650.457500000004,19129.66256988685,18469.508
2015-11-18 23:00:00,19475.5775,18952.62707013593,18233.832,2775.2,2773.7263954659115,2675.3926,16700.377500000002,16213.297179635794,15091.171,19475.577500000003,18987.023575101706,17766.562
