,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,cluster3,cluster3,cluster3,clustersum,clustersum,clustersum
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2014-11-17 10:00:00,4959.3144250000005,5592.757815597909,4987.0806,3894.314425,4198.28937202155,4043.684,329.5,344.43649084989397,318.72122,735.5,832.3005561243485,770.25006,4959.3144250000005,5375.0264189957925,5132.6553
2014-11-17 11:00:00,5113.0127,5834.714872326944,5329.85,4015.5127,4456.3476238242265,4340.6265,330.25,339.44630971439983,319.76004,767.25,835.6422122657309,755.1214,5113.0127,5631.436145804357,5415.5083
2014-11-17 12:00:00,5716.80665,6124.13809984344,5705.752,4501.05665,4747.262532314485,4681.3594,338.25,338.97577875671357,315.19437,877.5,832.8625356391428,845.5082,5716.80665,5919.100846710341,5842.062
2014-11-17 13:00:00,6223.86135,6389.49359552875,6372.973,4916.11135,5034.537283701103,5208.1543,370.5,329.03661253703336,324.29446,937.25,832.9372431963661,920.86395,6223.86135,6196.511139434502,6453.3125
2014-11-17 14:00:00,6810.8799,6619.406556038539,6620.3228,5422.6299,5238.666501436781,5440.5776,372.25,346.2850815802338,364.25888,1016.0,898.3463898095953,969.18134,6810.8799,6483.29797282661,6774.0176
2014-11-17 15:00:00,7339.440425,6826.6499442731,7095.607,5893.690425,5390.785903774394,5725.229,402.75,379.2535756711254,382.8913,1043.0,958.1810590562682,984.15015,7339.440425,6728.220538501787,7092.2705
2014-11-17 16:00:00,7753.4629,6938.049852832635,7012.629,6220.2129,5472.792353526216,5844.3013,452.0,406.85013389363314,419.76675,1081.25,961.7215005439098,1029.3931,7753.4629,6841.363987963759,7293.461
2014-11-17 17:00:00,7897.380875,7034.469878991804,7552.5986,6319.130875,5483.873002765341,5957.885,422.75,424.62691635902826,412.59106,1155.5,1055.0197950359031,1078.3143,7897.380875,6963.519714160273,7448.79
2014-11-17 18:00:00,7961.444325,7090.651091596007,7734.7476,6364.444325,5495.10210752364,6117.7095,419.0,453.28059269984533,444.62042,1178.0,1106.4119071538723,1128.0704,7961.444325,7054.794607377358,7690.4004
2014-11-17 19:00:00,7976.5039,7120.612657313698,7834.0547,6336.0039,5499.0762140228235,6172.7065,430.75,489.07161812506166,440.69955,1209.75,1142.0126060400269,1119.0359,7976.5039,7130.160438187912,7732.4424
2014-11-17 20:00:00,7979.57085,7036.07118956524,7590.8765,6382.82085,5438.280364344125,6166.9395,430.5,494.6054559941359,461.42032,1166.25,1082.3294870498455,1129.601,7979.57085,7015.215307388106,7757.961
2014-11-17 21:00:00,7910.0156,6985.855572937215,7432.968,6278.5156,5321.839024982022,5954.591,481.75,519.3254700458311,476.99728,1149.75,1130.315860038531,1118.3928,7910.0156,6971.480355066384,7549.9805
2014-11-17 22:00:00,7749.693375,6832.487819796033,7081.4883,6071.443375,5112.4310946688,5798.3755,502.25,520.88600668136,482.7748,1176.0,1148.3834597168304,1174.4083,7749.693375,6781.70056106699,7455.5586
2014-11-17 23:00:00,7453.263675,6717.220501894427,7029.77,5687.763675,4888.361364761902,5251.1504,512.0,568.1105840065501,494.59857,1253.5,1229.6199727412857,1146.627,7453.263675,6686.091921509738,6892.376
2014-11-18 00:00:00,6998.322275,6263.183936993104,6851.322,5276.072275,4579.495277258372,5156.0527,519.25,540.6194634389158,520.4352,1203.0,1200.4157320143397,1181.7706,6998.322275,6320.530472711627,6858.2583
2014-11-18 01:00:00,6697.2373,6144.158373121827,6619.189,4956.4873,4467.7949669556065,5023.487,544.0,559.521213707957,543.57,1196.75,1188.1510393528315,1167.0509,6697.2373,6215.467220016395,6734.1074
2014-11-18 02:00:00,6460.332025,6037.651022178231,6275.769,4749.832025,4358.786717884935,4765.21,551.5,554.6985491227515,534.5271,1159.0,1187.914564066991,1131.8575,6460.332025,6101.399831074677,6431.5947
2014-11-18 03:00:00,6218.0225,5875.194750093246,6217.821,4545.7725,4227.225657865847,4451.7285,580.25,580.3642210883478,539.03735,1092.0,1100.1477941539788,1098.3513,6218.0225,5907.737673108174,6089.117
2014-11-18 04:00:00,5968.42385,5746.33725772214,5939.2637,4295.17385,4132.097538748194,4010.2012,578.0,562.8721717449594,514.2854,1095.25,1075.5299478348088,1072.1884,5968.42385,5770.499658327962,5596.675
2014-11-18 05:00:00,5731.274425,5603.796269794299,5610.141,4168.274425,4074.6783289003924,3956.2856,526.25,493.14491446295426,483.65762,1036.75,1042.8431526916602,998.9644,5731.274425,5610.666396055007,5438.9077
2014-11-18 06:00:00,5425.83985,5454.6680860063625,5134.8,3995.5898500000003,4041.9902124875675,3827.129,465.5,447.68247523024814,443.76993,964.75,934.2863172302466,959.8234,5425.83985,5423.959004948062,5230.722
2014-11-18 07:00:00,5260.372075,5350.016184813683,5179.03,3986.622075,4004.6250322671644,3843.237,394.5,415.2750549418184,413.79587,879.25,869.1633896748141,827.3168,5260.372075,5289.063476883797,5084.3496
2014-11-18 08:00:00,5089.561525,5242.784728580549,4915.388,3901.061525,3972.5683793690287,3863.32,368.25,359.53694501901714,363.7863,820.25,812.1102738836141,792.37415,5089.561525,5144.21559827166,5019.4805
2014-11-18 09:00:00,5036.774425,5237.7628775741405,4790.4697,3883.024425,3988.3380487537374,3790.7644,350.25,338.50593822366625,350.26694,803.5,791.2595875899198,754.6322,5036.774425,5118.103574567323,4895.6636
2014-11-18 10:00:00,5013.648450000001,5613.373052413123,4845.483,3898.14845,4189.309686978302,3813.8484,335.25,342.9599517593766,322.52493,780.25,846.6169292803114,778.3904,5013.648450000001,5378.886568017991,4914.7637
2014-11-18 11:00:00,5187.718775,5956.703466104317,5341.498,4027.7187750000003,4527.760629427871,4175.131,335.5,339.40521452457153,309.45712,824.5,855.9698573423042,809.9208,5187.718775,5723.1357012947465,5294.509
2014-11-18 12:00:00,5713.392575,6321.249391981731,5695.9077,4485.142575,4871.3926979420985,4384.4814,341.25,337.89609867980613,313.40222,887.0,846.94871837143,835.8304,5713.392575,6056.237514993335,5533.7144
2014-11-18 13:00:00,6320.4463,6720.448495854402,6260.429,4995.6963,5265.856232637258,5141.3496,367.75,332.80545689423525,353.28348,957.0,857.7287849529607,889.59454,6320.4463,6456.390474484453,6384.228
2014-11-18 14:00:00,6896.5706083333,7020.182281483603,6813.4683,5518.3206083333,5539.908076409981,5507.24,365.25,352.2308082154314,352.05798,1013.0,929.0582467486695,964.26556,6896.5706083333,6821.197131374081,6823.564
