,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,cluster3,cluster3,cluster3,clustersum,clustersum,clustersum
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-17 10:00:00,6004.466105479,6159.462881572141,6028.8965,383.86527783319997,392.11652051393094,400.42792,5556.5341609791,5695.3659734367075,5589.99,64.0666666667,89.47623094708071,76.309204,6004.466105479,6176.958724897719,6066.727
2015-11-17 11:00:00,6311.626945396771,6556.133940290513,6387.7026,409.05833316660005,408.04399842395435,399.5897,5805.54361223017,6035.359898407962,5875.9453,97.025,124.37184869842453,103.67885,6311.62694539677,6567.775745530341,6379.214
2015-11-17 12:00:00,6641.394030230799,6811.342431318738,6617.847,412.44166666659993,413.6677052330947,402.71866,6118.552363564199,6277.318052316133,5992.308,110.4,128.6100873908127,109.185455,6641.394030230799,6819.5958449400405,6504.2124
2015-11-17 13:00:00,7233.173325977999,7239.147664688907,7049.932,434.43333383339996,444.67837112998865,435.3844,6686.406658811599,6659.566549250787,6451.017,112.333333333,132.76240690123296,122.272194,7233.173325977999,7237.007327282008,7008.6733
2015-11-17 14:00:00,7469.8458354764,7490.964083846799,7308.1323,446.126389,468.35979409946054,461.04523,6902.394446476401,6888.395027574992,6822.06,121.325,133.17822764475815,122.07758,7469.845835476401,7489.933049319211,7405.183
2015-11-17 15:00:00,7731.7533281478,7660.998102283218,7640.559,462.2680553334,455.89186118661564,480.81522,7152.0519394814,7057.691531334918,7001.2983,117.433333333,129.69930135559102,116.53036,7731.7533281478,7643.282693877125,7598.644
2015-11-17 16:00:00,7811.266527398001,7649.466756221134,7780.651,487.34999966630005,443.8858856950009,470.173,7204.783194398699,7054.880965224406,7107.0283,119.133333333,128.57250225744363,116.08174,7811.266527398,7627.339353176851,7693.2827
2015-11-17 17:00:00,7825.850682650001,7741.075618388719,7810.5225,487.0652780003,478.3930083860569,470.7735,7227.8270713167,7130.012920365654,7257.7544,110.958333333,120.43932834503924,112.181076,7825.850682650001,7728.84525709675,7840.709
2015-11-17 18:00:00,7836.900140474901,7809.722997259905,7851.883,440.78055616660004,479.8409304231969,479.25992,7277.744584308301,7191.711183376942,7239.7026,118.375,120.4009799918656,120.07968,7836.900140474901,7791.953093792005,7839.042
2015-11-17 19:00:00,7975.2216642296,7832.980903459485,7985.1553,494.71388916700005,496.00927594266653,484.02435,7373.657775062599,7204.602562613524,7439.4424,106.85,113.08810168705735,116.26859,7975.2216642296,7813.6999402432475,8039.7354
2015-11-17 20:00:00,7771.8566677347,7826.080777333214,7845.431,488.1000001670001,516.538427169692,501.9965,7183.340000900699,7187.738103176709,7178.799,100.416666667,101.6972588155027,105.882935,7771.856667734699,7805.973789161904,7786.678
2015-11-17 21:00:00,7727.3422152311,7727.088356411249,7738.604,525.5569444996,544.5528031239401,525.8728,7116.593604064799,7082.454085922547,7158.7583,85.1916666667,84.78402466879547,84.64519,7727.3422152310995,7711.790913715283,7769.276
2015-11-17 22:00:00,7560.3297193121,7590.1800028750395,7840.313,554.0972225003,572.2356442441272,525.7902,6937.0074968118,6939.82179701862,7138.164,69.225,70.14498367848395,61.57081,7560.3297193121,7582.202424941231,7725.525
2015-11-17 23:00:00,7441.0893087256,7401.185309207481,7628.7944,579.5847200003,569.7801371431239,526.47174,6809.3545887253,6770.171132058218,6745.4272,52.15,56.62059073021884,51.19295,7441.0893087256,7396.571859931561,7323.092
2015-11-18 00:00:00,7122.8581894791005,7174.29925153508,7435.6846,543.5319463331,568.9048169500427,538.8106,6534.3345764793,6565.64679388425,6560.851,44.9916666667,50.63822972820253,45.954697,7122.8581894791005,7185.189840562495,7145.616
2015-11-18 01:00:00,6965.5283313132995,7046.105263100103,7292.0713,564.0430549996,586.3155870287405,563.8303,6357.535276313699,6425.370896071128,6476.434,43.95,49.23269312680728,41.28715,6965.528331313299,7060.919176226676,7081.552
2015-11-18 02:00:00,6814.0730576457,6859.781875040471,7131.9517,584.2069433337,593.728946280027,565.29266,6184.866114312,6237.839394025414,6311.743,45.0,47.27845495508052,41.011692,6814.0730576457,6878.8467952605215,6918.0474
2015-11-18 03:00:00,6698.9881948992,6687.752700533701,6958.9697,601.8125013329,625.1990372340797,574.834,6054.592360233,6050.627372657095,6138.134,42.5833333333,46.880236266940976,42.683678,6698.988194899201,6722.706646158116,6755.6514
2015-11-18 04:00:00,6529.2723654833,6501.06432032512,6682.2964,627.0055569998999,609.5810104366794,576.082,5861.375141816699,5884.388638635801,5839.626,40.8916666667,46.795893618248954,45.112034,6529.2723654833,6540.765542690729,6460.82
2015-11-18 05:00:00,6328.2376288119,6327.584475315867,6419.195,593.0472218333,581.8388234904919,524.85345,5695.540406978601,5742.7864462646285,5818.7915,39.65,46.64731731439556,44.158478,6328.2376288119,6371.272587069517,6387.8037
2015-11-18 06:00:00,6160.43861373223,6175.132078301227,6246.23,534.8180560001,517.0243924319077,500.57132,5583.22055773213,5640.481789139948,5780.233,42.4,50.6639661498801,39.98496,6160.43861373223,6208.170147721736,6320.789
2015-11-18 07:00:00,6003.2886125613695,6035.372405475099,6031.249,481.4597226666,487.6903433529192,470.73853,5480.3788898947705,5536.306296533139,5511.427,41.45,49.806739913977964,45.15892,6003.28861256137,6073.803379800036,6027.3237
2015-11-18 08:00:00,5853.3694438969,5936.6975218634,5865.3833,416.6333325,425.40952238674004,437.0699,5394.7944447302,5487.988552000399,5481.5786,41.9416666667,53.43110544134456,41.942913,5853.3694438969,5966.829179828484,5960.5913
2015-11-18 09:00:00,5860.4776403140995,5996.408363669564,5886.382,393.7569455,392.9521027016323,397.2347,5414.8290281474,5564.776926798644,5473.3716,51.8916666667,61.32241305006958,51.998096,5860.4776403141,6019.051442550346,5922.6045
2015-11-18 10:00:00,5950.1556958981,6256.380548902995,6130.967,383.7069445,387.24512899870143,389.70566,5500.6320847314,5801.867598807308,5700.5864,65.8166666667,96.03171495691865,73.071754,5950.1556958981,6285.144442762928,6163.364
2015-11-18 11:00:00,6343.401666649401,6618.084079280826,6479.6826,401.5958328334,400.9423331375994,401.9391,5833.497500483,6117.764557824177,5935.106,108.308333333,122.23003370101294,98.40826,6343.4016666494,6640.936924662789,6435.453
2015-11-18 12:00:00,6589.578193146,6885.187672042572,6673.508,425.39722283339995,411.9110319797027,425.68954,6041.414303645599,6365.349140631198,6291.641,122.76666666700001,126.93022579249104,110.45305,6589.578193145999,6904.190398403392,6827.7837
2015-11-18 13:00:00,7077.102777064899,7227.188075918764,7118.1167,455.5111105004,438.1833606100164,430.2485,6501.408333231499,6666.9007796695005,6620.508,120.183333333,131.80494117329857,118.0698,7077.102777064898,7236.889081452815,7168.826
2015-11-18 14:00:00,7488.444163896,7456.373603379012,7374.9067,477.63888866630003,463.92402245333847,447.1712,6894.3969418967,6874.14691868207,6916.124,116.40833333299999,131.5866544105627,112.61003,7488.444163896,7469.657595545971,7475.9053
2015-11-18 15:00:00,7618.6337444799,7600.753604629334,7523.0845,446.97222033360003,451.5557844231637,454.0711,7048.2448574793,7010.392929046428,7068.9517,123.416666667,129.64360857091648,116.22903,7618.6337444799,7591.592322040508,7639.252
2015-11-18 16:00:00,7741.955279401101,7605.247143087833,7732.777,459.7736133331,440.61537632986233,475.54837,7162.589999400999,7020.790441816652,7082.9897,119.59166666700001,126.69481465799421,110.08085,7741.955279401099,7588.100632804509,7668.619
2015-11-18 17:00:00,7720.687370646,7673.960891600363,7796.19,461.83333433369995,467.94940875155453,471.65317,7147.554036312301,7080.7105262533605,7172.2734,111.3,123.39111337339438,111.68883,7720.687370646001,7672.051048378309,7755.6157
2015-11-18 18:00:00,7833.6100071448,7725.5531485932825,7879.798,478.52361033319994,465.3278565604343,490.07657,7239.069730144599,7128.418815103152,7330.5674,116.01666666700001,122.44398031217443,105.42151,7833.610007144799,7716.19065197576,7926.0654
2015-11-18 19:00:00,7922.0115244777,7719.633925965446,7913.2935,490.33472283369997,483.79094526636493,491.35837,7317.9934683110005,7115.107112763513,7225.509,113.683333333,113.43887950371206,112.81949,7922.0115244777,7712.336937533591,7829.6865
2015-11-18 20:00:00,7873.8172224823,7671.093820238085,7819.8657,510.8833328337,497.1710928360817,496.8369,7255.7088896486,7064.762954253111,7083.106,107.225,101.37323635539335,98.793365,7873.817222482301,7663.307283444587,7678.7363
2015-11-18 21:00:00,7875.411387398699,7544.98121645387,7828.604,518.3874999997,520.5127835292101,519.3109,7273.0655540657,6940.009449407386,7084.1606,83.9583333333,86.12984140336543,76.87785,7875.4113873987,7546.652074339961,7680.3496
2015-11-18 22:00:00,7626.5001368095,7404.704103613237,7592.0625,524.5486111664,547.3702244490472,515.3835,7031.459858976401,6799.045695358321,6963.248,70.4916666667,71.31181331298342,68.98486,7626.500136809501,7417.727733120351,7547.616
2015-11-18 23:00:00,7397.0563976512,7241.356668551356,7604.3037,544.3388893333,546.869305168726,536.0979,6798.492508317901,6651.238357196788,6779.012,54.225,60.115846234408814,55.447098,7397.056397651202,7258.223508599923,7370.5576
