,Office_Mada,Office_Madeleine,Office_Madisyn,Office_Malik,Office_Marc,Office_Marcia,Office_Marcus,Office_Marianne,Office_Marilyn,Office_Marion,Office_Mark,Office_Marla,Office_Marlon,Office_Martha,Office_Martin,Office_Marvin,Office_Mary,Office_Maryann,Office_Mason,Office_Mat,Office_Matthew,Office_Max,Office_Maximus,Office_Maya,Office_Megan,Office_Melinda,Office_Mercedes,Office_Michael,Office_Micheal,Office_Mick,Office_Mikayla,Office_Milton,Office_Mohammed,Office_Moises,Office_Monty,Office_Morgan,Office_Moses,Office_Muhammad,Office_Myron,UnivClass_Maddison,UnivDorm_Malachi,UnivDorm_Malcolm,UnivDorm_Marlene,UnivDorm_Marquis,UnivDorm_Mathew,UnivDorm_Mauricio,UnivDorm_Mckenzie,UnivDorm_Mitch,UnivLab_Mack,UnivLab_Madelyn,UnivLab_Margret,UnivLab_Mariana,UnivLab_Marie,UnivLab_Mario,UnivLab_Marshall,UnivLab_Miles
2014-05-01 05:00:00,46.5,75.5,26.75,36.75,14.0,192.75,23.0,99.25,27.5,98.75,63.5,11.0,8.0,44.5,37.5,7.25,20.75,9.0576,131.0,31.25,150.0,56.0,33.75,77.5,66.25,39.25,35.25,47.75,78.25,29.5,180.75,745.5,74.75,18.5,28.5,21.0,48.5,134.0,26.5,9.25,103.75,176.25,106.5,240.5,152.25,137.75,148.75,56.5,93.25,260.25,116.0,270.25,292.5,62.0,60.75,100.75
2014-05-01 06:00:00,43.5,77.0,25.25,37.0,14.5,194.0,22.25,98.0,27.25,102.75,60.75,10.25,8.5,42.5,36.0,7.0,21.25,8.51075,111.25,31.25,146.0,47.25,35.25,78.25,64.5,40.5,32.0,45.25,89.5,28.0,178.5,727.0,74.25,18.0,29.0,21.0,49.25,126.25,22.25,8.75,98.0,165.0,101.5,207.25,137.25,124.25,147.0,46.0,91.25,259.75,112.5,263.25,298.5,62.5,60.0,104.75
2014-05-01 07:00:00,45.0,67.5,25.5,36.5,13.75,194.5,21.75,98.5,26.5,99.0,64.75,11.5,8.25,40.75,35.75,7.0,21.25,9.5547,98.75,31.25,145.75,45.0,34.0,77.75,61.75,35.75,34.0,46.75,69.75,27.25,173.0,725.5,74.25,16.25,29.0,21.25,56.5,128.25,26.25,7.25,99.75,162.25,101.75,200.5,117.75,116.25,132.75,43.75,95.0,259.5,115.5,254.25,297.5,58.5,60.25,103.5
2014-05-01 08:00:00,45.75,62.5,24.5,36.0,14.0,196.25,21.25,99.25,26.25,94.0,65.25,10.5,7.5,41.75,34.25,7.0,23.0,8.919925,95.0,31.5,146.75,44.0,31.25,77.5,63.25,35.0,32.0,47.0,78.25,27.25,175.0,725.25,74.0,18.0,28.25,21.5,57.5,126.0,24.25,9.25,95.5,146.25,88.75,192.0,113.5,109.0,127.5,41.5,96.0,260.5,114.0,261.5,291.25,61.25,62.25,102.75
2014-05-01 09:00:00,45.25,67.0,25.5,38.25,13.25,191.75,21.5,98.75,26.75,98.0,62.5,10.5,8.5,41.0,34.0,7.0,23.75,8.3662,90.75,32.0,144.75,44.5,31.0,74.75,68.75,35.5,33.0,47.75,48.25,27.0,177.0,723.25,74.25,19.25,28.75,20.75,57.25,130.25,23.75,8.75,88.75,143.5,90.75,184.75,116.0,107.25,122.75,40.25,96.5,267.5,115.75,253.5,288.25,57.75,60.0,99.25
2014-05-01 10:00:00,54.75,69.75,25.0,41.0,14.0,188.25,27.0,111.5,28.25,99.0,68.0,12.5,7.25,40.75,33.25,7.0,27.25,9.0713,90.25,31.5,152.5,62.0,33.25,81.75,68.75,35.75,34.5,55.25,49.0,27.5,174.75,734.0,74.5,19.75,27.75,21.5,54.75,128.5,29.0,8.75,91.25,154.5,88.75,183.25,138.25,103.75,127.25,40.75,92.5,274.75,113.5,276.5,291.25,60.0,60.5,98.5
2014-05-01 11:00:00,68.5,78.25,24.75,53.25,22.0,223.75,31.0,129.25,40.0,100.0,82.5,10.75,7.75,47.5,40.25,7.0,28.75,11.2754,88.75,42.75,181.0,97.75,128.0,104.5,75.25,41.25,34.0,59.0,95.5,27.5,189.75,756.25,74.5,19.5,32.5,23.5,65.0,127.25,33.25,19.75,95.5,170.5,92.5,210.25,151.0,107.5,154.75,43.0,88.75,274.5,114.0,273.0,300.5,52.0,60.25,108.75
2014-05-01 12:00:00,88.5,65.75,26.75,59.25,25.25,236.75,40.0,139.75,46.25,126.0,96.0,12.5,8.5,90.75,43.5,6.75,42.75,12.746075,99.75,51.5,192.0,94.25,160.0,130.25,75.75,41.25,34.5,83.75,111.0,32.25,224.75,801.25,75.5,20.25,44.25,25.75,65.5,136.5,47.5,16.75,105.25,184.5,116.25,229.75,163.0,113.0,182.5,47.25,97.0,277.25,119.25,267.5,313.25,55.25,61.75,132.5
2014-05-01 13:00:00,108.5,70.0,36.5,64.75,31.5,240.5,44.5,150.75,62.5,136.0,125.5,10.5,16.0,94.75,49.0,9.5,48.75,15.77635,112.25,61.0,202.0,99.75,192.0,157.75,89.0,47.75,36.75,98.25,151.5,47.0,244.25,851.75,77.5,21.5,66.5,30.75,66.75,162.25,63.5,19.5,102.75,190.0,119.75,235.25,173.25,117.25,186.0,40.75,100.5,279.5,123.75,364.0,343.75,60.5,66.5,147.0
2014-05-01 14:00:00,120.5,77.25,48.5,63.0,41.25,247.25,50.5,161.25,65.75,148.25,125.25,11.25,21.75,118.25,50.5,16.5,52.5,15.320325,112.25,59.5,217.0,101.0,199.5,161.75,92.75,53.5,44.75,120.5,175.25,47.75,246.25,877.5,77.5,23.25,81.0,36.75,66.25,175.75,63.25,22.0,94.75,191.75,120.75,247.75,192.0,132.25,207.5,41.75,102.0,289.25,126.25,358.75,356.5,63.75,76.5,155.25
