,YUAG,Berkeley,Hopper,304Elm,Davenport,38HH,320Temple,53Wall,Sprague,Malone,Trumbull,17HH
Mon 01/01/18 00:00,7929946.5,7241231.2,2766963.5,1109119.8,4306847.8,3164052.8,94018.2,3024576.8,358345.5,6543549.3,4441711.2,8929603.5
Mon 01/01/18 01:00,7930103.6,7241300.8,2767051.1,1109124.4,4306942.8,3164055.9,94019.9,2493806.4,358379.5,6543660.7,4441765.7,7419481.4
Mon 01/01/18 02:00,7930256.8,7241359.7,2767125.7,1109129,4307035.7,3164058.5,94021.8,3024609.2,358411.2,6543770.8,4441818,8929905.7
Mon 01/01/18 03:00,7930426.2,7241423.3,2767205.3,1109133.8,4307137.8,3164061.8,94023.8,3024625.3,358443.5,6543892,4441878.8,8930055.8
Mon 01/01/18 04:00,7930598,7241486.5,2767284.2,1109138.8,4307237.7,3164065,94025.7,3024641.7,358475.8,6544010.3,4441940.3,8930205
Mon 01/01/18 05:00,7930770.2,7241549.5,2767363.2,1109143.7,4307338.7,3164068,94027.8,3024658.3,358508.3,6544130.7,4441999.5,8930354.5
Mon 01/01/18 06:00,7930939,7241613,2767443.8,1109148.7,4307439.5,3164071,94029.8,3024674.5,358540.5,6544250.2,4442061.2,8930503.5
Mon 01/01/18 07:00,7931107.8,7241676,2767522.5,1109153.7,4307540.3,3164074.5,94031.8,3024690.3,358572.8,6544368.2,4442124.5,8930653
Mon 01/01/18 08:00,7931280,7241745.8,2767602.5,1109158.3,4307641.8,3164077.5,94034,3024706.7,358605.2,6544489,4442184.8,8930803.2
Mon 01/01/18 09:00,7931481,7241824.5,2767683,1109163.5,4307741.3,3164080.5,94036.2,3024722.3,358636.7,6544614.8,4442244.5,8930957.5
Mon 01/01/18 10:00,7931726.8,7241902.8,2767761,1109168.8,4307841.3,3164083.5,94038.2,3024738.3,358667.7,6544735,4442302.8,8931111.7
Mon 01/01/18 11:00,7931949.2,7241980.5,2767838.8,1109173.3,4307942.2,3164086.7,94040.3,3024754.7,358698.7,6544860.8,4442361.5,8931266.8
Mon 01/01/18 12:00,7932169.3,7242058.5,2767919.8,1109179.2,4308045,3164090,94042.5,3024771.3,358729.8,6544986.3,4442423.3,8931424.5
Mon 01/01/18 13:00,7932390,7242136.5,2767998.2,1109184.2,4308150,3164092.7,94044.2,3024788,358760.2,6545120.5,4442485.7,8931584
Mon 01/01/18 14:00,7932588,7242215,2768076.7,1109189,4308255.2,3164096,94046.2,3024804.7,358789.7,6545252.7,4442544.2,8931746.8
Mon 01/01/18 15:00,7932784.3,7242293.7,2768154.5,1109194,4308361.8,3164099,94048.5,3024821.5,358818,6545379.7,4442600.3,8931914.8
Mon 01/01/18 16:00,7932981.3,7242373,2768229.2,1109198.8,4308468,3164102.3,94050.7,3024838.2,358850,6545511,4442657,8932087
Mon 01/01/18 17:00,7933178.8,7242451.7,2768306,1109203.8,4308570.2,3164105.5,94052.8,3024854.3,358880.2,6545648.5,4442715,8932252
Mon 01/01/18 18:00,7933376,7242530.7,2768387.7,1109208.7,4308672.8,3164109,94055.2,3024870.8,358912,6545786.5,4442777.7,8932419.2
Mon 01/01/18 19:00,7933554.2,7242608.5,2768467.7,1109213.7,4308777.5,3164112.5,94057.2,3024887.3,358944.3,6545916.8,4442842.5,8932586.3
Mon 01/01/18 20:00,7933703,7242681,2768546.8,1109218.3,4308880.7,3164116,94059.5,3024904,358976.3,6546041.7,4442903.8,8932749.5
Mon 01/01/18 21:00,7933851.7,7242753.3,2768627,1109223.2,4308988.8,3164119,94061.7,3024920.3,359008.7,6546165.7,4442963.7,8932909.8
