,Day Ahead LMP,Real Time LMP
2018-01-01 00:00:00,122.82,143.9
2018-01-01 01:00:00,122.2,132.22
2018-01-01 02:00:00,122.11,131.22
2018-01-01 03:00:00,122.33,139.92
2018-01-01 04:00:00,122.61,135.24
2018-01-01 05:00:00,121.95,133.68
2018-01-01 06:00:00,127.42,129.74
2018-01-01 07:00:00,132.72,125.8
2018-01-01 08:00:00,142.51,131.49
2018-01-01 09:00:00,173.14,191.7
2018-01-01 10:00:00,162.74,183.6
2018-01-01 11:00:00,169.09,158.19
2018-01-01 12:00:00,160.3,146.13
2018-01-01 13:00:00,155.88,137.08
2018-01-01 14:00:00,147.04,129.42
2018-01-01 15:00:00,152.04,137.27
2018-01-01 16:00:00,186.47,152.2
2018-01-01 17:00:00,214.17,169.99
2018-01-01 18:00:00,206.84,169.34
2018-01-01 19:00:00,192.49,158.42
2018-01-01 20:00:00,162.58,163.15
2018-01-01 21:00:00,161.49,156.97
2018-01-01 22:00:00,155.18,139.81
2018-01-01 23:00:00,153.79,71.58
2018-01-02 00:00:00,142.05,129.71
2018-01-02 01:00:00,131.98,122.64
2018-01-02 02:00:00,128.69,109.91
2018-01-02 03:00:00,128.29,121.51
2018-01-02 04:00:00,134.29,126.92
2018-01-02 05:00:00,154.95,151.38
2018-01-02 06:00:00,181.14,228.63
2018-01-02 07:00:00,203.14,188.89
2018-01-02 08:00:00,198.98,166.75
2018-01-02 09:00:00,197.91,154.4
2018-01-02 10:00:00,197.52,159.13
2018-01-02 11:00:00,191.76,148.59
2018-01-02 12:00:00,165.39,148.93
2018-01-02 13:00:00,156.14,151.03
2018-01-02 14:00:00,149.69,151.27
2018-01-02 15:00:00,150.64,147.96
2018-01-02 16:00:00,182.01,167.44
2018-01-02 17:00:00,215.01,171.75
2018-01-02 18:00:00,206.61,172.05
2018-01-02 19:00:00,193.21,181.14
2018-01-02 20:00:00,179.28,162.88
2018-01-02 21:00:00,164.17,126.71
2018-01-02 22:00:00,155.24,119.31
2018-01-02 23:00:00,134.22,120.88
2018-01-03 00:00:00,123.92,126.24
2018-01-03 01:00:00,123.32,124.5
2018-01-03 02:00:00,118.61,117.21
2018-01-03 03:00:00,118.86,128.6
2018-01-03 04:00:00,122.33,126.53
2018-01-03 05:00:00,129.14,156.15
2018-01-03 06:00:00,195.01,211.21
2018-01-03 07:00:00,191.01,236.86
2018-01-03 08:00:00,189.67,199.02
2018-01-03 09:00:00,183.76,179.69
2018-01-03 10:00:00,183.71,150.83
2018-01-03 11:00:00,171.73,164.49
2018-01-03 12:00:00,149.79,130.87
2018-01-03 13:00:00,144.14,135.87
2018-01-03 14:00:00,140.76,143.66
2018-01-03 15:00:00,139.84,148.11
2018-01-03 16:00:00,192.15,156.92
2018-01-03 17:00:00,213.55,163.3
2018-01-03 18:00:00,201.62,167.15
2018-01-03 19:00:00,188.94,169.75
2018-01-03 20:00:00,163.86,162.42
2018-01-03 21:00:00,151.12,157.66
2018-01-03 22:00:00,140.69,150.51
2018-01-03 23:00:00,122.98,137.53
2018-01-04 00:00:00,111.24,134.47
2018-01-04 01:00:00,108.64,136.06
2018-01-04 02:00:00,97.51,133.47
2018-01-04 03:00:00,94.59,124.89
2018-01-04 04:00:00,108.67,125.11
2018-01-04 05:00:00,123.27,123.31
2018-01-04 06:00:00,142.27,82.79
