,aggregate_actual,aggregate_sarimax,cluster1_actual,cluster1_sarimax
2015-11-01 10:00:00,14436.310000000001,13825.269759159975,14436.310000000001,13825.269759159975
2015-11-01 11:00:00,14622.6,13976.253529974578,14622.6,13976.253529974578
2015-11-01 12:00:00,14643.66,14237.875280851791,14643.66,14237.875280851791
2015-11-01 13:00:00,14880.75,14683.182589518367,14880.75,14683.182589518367
2015-11-01 14:00:00,14840.0,14953.31159316831,14840.0,14953.31159316831
2015-11-01 15:00:00,14818.15,15349.163436963707,14818.15,15349.163436963707
2015-11-01 16:00:00,14887.02,15766.483413365142,14887.02,15766.483413365142
2015-11-01 17:00:00,15116.279999999999,16078.829247577038,15116.279999999999,16078.829247577038
2015-11-01 18:00:00,15323.89,16296.22784344991,15323.89,16296.22784344991
2015-11-01 19:00:00,15606.869999999999,16415.720017218122,15606.869999999999,16415.720017218122
2015-11-01 20:00:00,15777.17,16474.165937731035,15777.17,16474.165937731035
2015-11-01 21:00:00,15928.599999999999,16502.433633621607,15928.599999999999,16502.433633621607
2015-11-01 22:00:00,16005.45,16464.957212786197,16005.45,16464.957212786197
2015-11-01 23:00:00,16041.41,16255.748851851677,16041.41,16255.748851851677
2015-11-02 00:00:00,16004.110000000002,17570.50638018625,16004.110000000002,17570.50638018625
2015-11-02 01:00:00,16153.52,17389.02395274643,16153.52,17389.02395274643
2015-11-02 02:00:00,16174.79,17148.401098179496,16174.79,17148.401098179496
2015-11-02 03:00:00,15852.59,16880.537318125193,15852.59,16880.537318125193
2015-11-02 04:00:00,15661.16,16648.49839451559,15661.16,16648.49839451559
2015-11-02 05:00:00,15463.250000000002,16205.613788969444,15463.250000000002,16205.613788969444
2015-11-02 06:00:00,15198.44,15771.060014139652,15198.44,15771.060014139652
2015-11-02 07:00:00,14978.029999999999,15547.685127733994,14978.029999999999,15547.685127733994
2015-11-02 08:00:00,14841.83,15496.3653896044,14841.83,15496.3653896044
2015-11-02 09:00:00,14809.01,15485.90256619567,14809.01,15485.90256619567
2015-11-02 10:00:00,14924.38,15200.579356144162,14924.38,15200.579356144162
2015-11-02 11:00:00,15247.77,15352.99620237232,15247.77,15352.99620237232
2015-11-02 12:00:00,15610.61,15758.942007774634,15610.61,15758.942007774634
2015-11-02 13:00:00,16276.25,16146.052669668466,16276.25,16146.052669668466
2015-11-02 14:00:00,16652.03,16459.74085730859,16652.03,16459.74085730859
2015-11-02 15:00:00,17470.54,16960.9116454954,17470.54,16960.9116454954
2015-11-02 16:00:00,18374.2,17489.927225855943,18374.2,17489.927225855943
2015-11-02 17:00:00,19029.86,17795.63337226575,19029.86,17795.63337226575
2015-11-02 18:00:00,19367.94,18049.51465973158,19367.94,18049.51465973158
2015-11-02 19:00:00,19659.54,18121.41541073932,19659.54,18121.41541073932
2015-11-02 20:00:00,19806.510000000002,18213.97992054089,19806.510000000002,18213.97992054089
2015-11-02 21:00:00,19916.85,18229.533506831023,19916.85,18229.533506831023
2015-11-02 22:00:00,19880.219999999998,18202.14655011817,19880.219999999998,18202.14655011817
2015-11-02 23:00:00,19547.75,17969.25153970682,19547.75,17969.25153970682
