,aggregate,aggregate,aggregate,cluster1,cluster1,cluster1,cluster2,cluster2,cluster2,cluster3,cluster3,cluster3
,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp,actual,sarimax,mlp
2015-11-03 10:00:00,14890.78,15631.819035922788,14974.428,4804.6,4914.102099732225,4766.1626,9252.22,9965.692548782044,9363.623,833.96,826.2933410142683,819.2991
2015-11-03 11:00:00,14939.66,15852.866155359046,15110.4,4770.799999999999,4841.556583578329,4733.1646,9345.52,10194.52884040124,9596.961,823.34,841.2551142733328,872.10455
2015-11-03 12:00:00,15330.29,16240.80513645102,15640.577,4743.929999999999,4819.694839825118,4756.2217,9707.58,10519.36256016653,9947.3955,878.78,916.3383439196077,912.5296
2015-11-03 13:00:00,16166.369999999999,16806.510562346943,16154.724,4790.21,4864.0574808546635,4721.8916,10471.26,11001.420791047201,10427.727,904.9,961.0617551416947,954.1855
2015-11-03 14:00:00,16543.53,17108.930806711567,16761.527,4800.719999999999,4815.590579327309,4761.35,10834.93,11360.176897443149,10842.992,907.8800000000001,942.5983920203304,954.1759
2015-11-03 15:00:00,17575.699999999997,17729.972978046255,17716.896,4947.51,4815.0382355565125,4850.3413,11725.48,11993.091354277985,11610.604,902.71,934.7856426965102,929.5081
2015-11-03 16:00:00,18503.33,18464.085631869762,18540.127,4994.82,4832.85351345008,5001.213,12599.53,12688.897502281223,12423.857,908.9799999999999,907.894925692565,896.0385
2015-11-03 17:00:00,19139.65,19021.312972801767,19148.643,5115.46,4973.905227037931,5102.6157,13129.51,13115.892401089379,13006.902,894.68,905.4968607306275,861.2021
2015-11-03 18:00:00,19460.230000000003,19157.021920380575,19546.06,5163.75,4958.8705563344,5205.771,13418.78,13304.220362316944,13399.207,877.7,869.0508797259374,848.2356
2015-11-03 19:00:00,19687.5,19373.54352120529,19919.53,5260.3,5100.400180209804,5306.049,13558.869999999999,13413.636386717782,13430.526,868.33,863.2895415889147,852.538
2015-11-03 20:00:00,19899.8,19517.95275137417,20086.932,5411.829999999999,5193.248931917728,5404.6196,13629.259999999998,13469.760196267254,13503.757,858.7099999999999,865.75249815252,865.31085
