Building:,304 Elm Street,YUAG,Berkeley College,Grace Hopper College,Davenport College,Malone Engineering,Sprague Hall,Trumbull College,17 Hillhouse Ave.
units:,Totalized Gallons,Totalized Lbs,Demand Gallons/hr,Totalized Lbs,Totalized Gallons,Totalized Gallons,Totalized Gallons,Totalized Gallons,Totalized Lbs
01-Jan-18 01:00:00,702539,Bad,,1258255,8275975,6840263,272639,358360,27655496
01-Jan-18 02:00:00,702621,Bad,75,1258312,8276124,6840676,272645,358462,27659152
01-Jan-18 03:00:00,702697,Bad,120,1258371,8276296,6841093,272663,358574,27662796
01-Jan-18 04:00:00,702771,Bad,81,1258430,8278191,6841581,272674,358682,27666436
01-Jan-18 05:00:00,702843,Bad,93,1258490,8278191,6842131,272689,358778,27670060
01-Jan-18 06:00:00,702929,Bad,93,1258549,8278226,6842620,272710,358875,27673676
01-Jan-18 07:00:00,703003,Bad,81,1258610,8279268,6843080,272719,358983,27677280
01-Jan-18 08:00:00,703077,Bad,81,1258668,8279501,6843522,272729,359092,27680920
01-Jan-18 09:00:00,703146,Bad,96,1258726,8279501,6843953,272743,359192,27684558
01-Jan-18 10:00:00,703213,Bad,81,1258786,8279851,6844412,272767,359288,27688200
01-Jan-18 11:00:00,703280,Bad,87,1258843,8280510,6844976,272776,359387,27691866
01-Jan-18 12:00:00,703342,Bad,69,1258901,8281159,6845404,272783,359497,27695532
01-Jan-18 13:00:00,703409,Bad,57,1258959,8281823,6845817,272788,359600,27699196
01-Jan-18 14:00:00,703475,Bad,63,1259018,8282489,6846219,272810,359704,27702868
01-Jan-18 15:00:00,703539,Bad,72,1259073,8282995,6846623,272832,359793,27706560
01-Jan-18 16:00:00,703602,Bad,51,1259130,8282995,6846997,272850,359885,27710224
01-Jan-18 17:00:00,703663,Bad,51,1259189,8282995,6847400,272862,359989,27713844
01-Jan-18 18:00:00,703725,Bad,75,1259245,8282995,6847773,272881,360105,27717466
01-Jan-18 19:00:00,703787,Bad,69,1259303,8284380,6848193,272886,360208,27721086
01-Jan-18 20:00:00,703850,Bad,63,1259359,8285828,6848578,272888,360306,27724690
01-Jan-18 21:00:00,703917,Bad,84,1259416,8286906,6848977,272903,360407,27728280
01-Jan-18 22:00:00,703956,Bad,69,1259475,8286906,6849404,272922,360504,27731888
01-Jan-18 23:00:00,703991,Bad,69,1259534,8287019,6849843,272939,360620,27735504
02-Jan-18 00:00:00,704029,Bad,69,1259591,8287902,6850306,272955,360729,27739086
02-Jan-18 01:00:00,704101,Bad,75,1259650,8289212,6850757,272965,360833,27742738
02-Jan-18 02:00:00,704180,Bad,75,1259707,8290456,6851208,272980,360928,27746340
02-Jan-18 03:00:00,704254,Bad,84,1259764,8291972,6851682,272989,361031,27749970
02-Jan-18 04:00:00,704324,Bad,69,1259824,8293234,6852062,273008,361147,27753584
02-Jan-18 05:00:00,704393,Bad,69,1259880,8294569,6852485,273015,361258,27757208
02-Jan-18 06:00:00,704463,Bad,69,1259937,8295928,6852924,273022,361362,27760780
02-Jan-18 07:00:00,704533,Bad,75,1259992,8297501,6853340,273039,361465,27764176
02-Jan-18 08:00:00,704609,Bad,69,1260051,8298936,6853856,273063,361567,27767610
02-Jan-18 09:00:00,704681,Bad,102,1260137,8300233,6854277,273095,361667,27771224
02-Jan-18 10:00:00,704753,Bad,57,1260227,8301545,6854682,273110,361771,27774866
02-Jan-18 11:00:00,704818,Bad,63,1260311,8302857,6855084,273129,361870,27778512
02-Jan-18 12:00:00,704881,Bad,57,1260414,8304169,6855479,273138,361966,27782152
02-Jan-18 13:00:00,704948,Bad,39,1260575,8305482,6855830,273156,362063,27785842
02-Jan-18 14:00:00,705007,Bad,60,1260737,8306794,6856199,273179,362158,27789512
02-Jan-18 15:00:00,705063,Bad,45,1260836,8308106,6856538,273192,362252,27793182
