,YUAG,Berkeley,Hopper,304Elm,Davenport,38HH,320Temple,53Wall,Sprague,Malone,Trumbull,17HH
2018-01-01 01:00:00,157.1,69.6,87.6,4.6,95.0,3.1,1.7,16.2,34.0,111.4,54.5,151.1
2018-01-01 02:00:00,153.2,58.9,74.6,4.6,92.9,2.6,1.9,16.2,31.7,110.1,52.3,151.1
2018-01-01 03:00:00,169.4,63.6,79.6,4.8,102.1,3.3,2.0,16.1,32.3,121.2,60.8,150.1
2018-01-01 04:00:00,171.8,63.2,78.9,5.0,99.9,3.2,1.9,16.4,32.3,118.3,61.5,149.2
2018-01-01 05:00:00,172.2,63.0,79.0,4.9,101.0,3.0,2.1,16.6,32.5,120.4,59.2,149.5
2018-01-01 06:00:00,168.8,63.5,80.6,5.0,100.8,3.0,2.0,16.2,32.2,119.5,61.7,149.0
2018-01-01 07:00:00,168.8,63.0,78.7,5.0,100.8,3.5,2.0,15.8,32.3,118.0,63.3,149.5
2018-01-01 08:00:00,172.2,69.8,80.0,4.6,101.5,3.0,2.2,16.4,32.4,120.8,60.3,150.2
2018-01-01 09:00:00,201.0,78.7,80.5,5.2,99.5,3.0,2.2,15.6,31.5,125.8,59.7,154.3
2018-01-01 10:00:00,245.8,78.3,78.0,5.3,100.0,3.0,2.0,16.0,31.0,120.2,58.3,154.2
2018-01-01 11:00:00,222.4,77.7,77.8,4.5,100.9,3.2,2.1,16.4,31.0,125.8,58.7,155.1
2018-01-01 12:00:00,220.1,78.0,81.0,5.9,102.8,3.3,2.2,16.6,31.1,125.5,61.8,157.7
2018-01-01 13:00:00,220.7,78.0,78.4,5.0,105.0,2.7,1.7,16.7,30.4,134.2,62.4,159.5
2018-01-01 14:00:00,198.0,78.5,78.5,4.8,105.2,3.3,2.0,16.7,29.5,132.2,58.5,162.8
2018-01-01 15:00:00,196.3,78.7,77.8,5.0,106.6,3.0,2.3,16.8,28.3,127.0,56.1,168.0
2018-01-01 16:00:00,197.0,79.3,74.7,4.8,106.2,3.3,2.2,16.7,32.0,131.3,56.7,172.2
2018-01-01 17:00:00,197.5,78.7,76.8,5.0,102.2,3.2,2.1,16.1,30.2,137.5,58.0,165.0
2018-01-01 18:00:00,197.2,79.0,81.7,4.9,102.6,3.5,2.4,16.5,31.8,138.0,62.7,167.2
2018-01-01 19:00:00,178.2,77.8,80.0,5.0,104.7,3.5,2.0,16.5,32.3,130.3,64.8,167.1
2018-01-01 20:00:00,148.8,72.5,79.1,4.6,103.2,3.5,2.3,16.7,32.0,124.9,61.3,163.2
2018-01-01 21:00:00,148.7,72.3,80.2,4.9,108.1,3.0,2.2,16.3,32.4,124.0,59.9,160.3
2018-01-01 22:00:00,147.3,66.9,80.8,4.8,110.7,3.0,2.1,16.0,32.3,123.1,58.6,159.0
2018-01-01 23:00:00,147.2,64.1,79.2,5.0,102.7,3.5,2.2,16.0,32.3,127.7,60.4,160.4
2018-01-02 00:00:00,148.6,65.7,78.8,4.8,101.1,3.0,1.8,16.5,32.4,128.2,63.0,163.0
2018-01-02 01:00:00,147.9,68.0,85.1,4.5,113.1,3.5,1.1,16.6,37.1,114.2,63.6,151.1
2018-01-02 02:00:00,145.1,57.0,72.4,5.2,96.9,3.0,1.3,16.6,29.9,108.4,55.2,151.1
2018-01-02 03:00:00,147.4,64.3,80.2,5.0,96.2,3.0,2.1,16.5,31.0,140.0,58.5,153.4
2018-01-02 04:00:00,129.3,64.0,77.3,4.8,89.7,3.0,1.9,16.3,31.0,125.9,58.0,155.8
2018-01-02 05:00:00,128.2,63.2,77.9,5.0,106.3,3.7,1.8,16.5,31.6,122.1,60.8,153.5
2018-01-02 06:00:00,128.3,63.7,77.1,4.9,102.2,4.0,1.8,16.0,33.0,122.7,62.2,160.5
2018-01-02 07:00:00,136.8,63.6,74.7,5.3,84.3,4.3,2.0,16.4,34.0,121.5,59.0,157.0
2018-01-02 08:00:00,161.9,70.4,81.2,5.5,116.7,4.2,2.2,18.0,35.9,122.5,62.7,161.3
2018-01-02 09:00:00,202.8,77.8,88.5,6.2,118.0,5.3,2.5,18.1,40.5,131.2,66.1,168.4
2018-01-02 10:00:00,264.8,76.7,93.5,6.3,118.5,6.0,2.7,18.7,43.0,136.1,67.2,168.8
2018-01-02 11:00:00,287.0,80.3,95.8,5.0,123.8,6.7,2.8,23.0,44.1,144.0,68.8,174.5
2018-01-02 12:00:00,289.9,80.2,98.8,6.0,137.5,6.5,2.8,25.3,46.2,153.5,68.2,176.2
2018-01-02 13:00:00,293.0,80.1,98.9,6.0,123.2,7.0,2.8,22.9,47.0,156.4,66.2,173.8
2018-01-02 14:00:00,292.0,79.5,100.0,6.0,125.8,8.0,2.8,22.3,47.0,152.5,66.3,170.5
2018-01-02 15:00:00,297.3,78.7,101.3,6.0,116.8,7.6,2.8,21.0,47.0,152.1,67.7,173.3
2018-01-02 16:00:00,300.7,78.0,99.2,5.3,114.0,7.9,2.5,21.0,48.0,151.2,68.0,178.7
2018-01-02 17:00:00,302.1,76.2,92.5,5.7,102.7,6.3,2.4,21.0,47.0,156.2,68.3,169.5
2018-01-02 18:00:00,285.0,76.0,84.3,5.7,102.2,5.5,2.6,19.5,46.0,155.5,66.0,166.0
2018-01-02 19:00:00,208.0,76.1,81.8,5.0,102.8,4.3,2.2,16.8,44.0,145.3,64.7,166.3
2018-01-02 20:00:00,135.7,70.7,81.2,4.8,105.8,3.2,2.3,15.9,43.7,141.3,63.3,161.4
2018-01-02 21:00:00,137.5,71.0,82.2,4.8,111.7,3.0,2.7,15.3,43.0,137.4,63.8,164.1
2018-01-02 22:00:00,130.0,66.2,82.5,4.9,104.5,3.3,2.2,15.8,43.1,129.3,63.4,156.9
2018-01-02 23:00:00,131.2,63.3,80.6,5.0,103.5,3.2,2.6,15.7,43.2,128.0,61.6,154.3
2018-01-03 00:00:00,131.0,62.7,81.9,4.6,103.0,3.0,2.0,16.0,39.2,127.7,63.0,148.2
2018-01-03 01:00:00,122.6,71.4,92.9,4.7,99.9,3.0,1.4,16.0,31.4,119.8,63.0,152.2
2018-01-03 02:00:00,115.0,58.2,76.9,4.3,90.3,2.8,1.3,16.0,28.7,110.3,63.0,152.2
2018-01-03 03:00:00,131.7,65.0,84.7,5.9,102.1,3.2,1.7,15.7,32.5,122.5,57.8,147.3
2018-01-03 04:00:00,150.5,64.7,83.8,5.0,101.2,3.0,2.3,15.5,32.5,141.9,57.7,145.7
2018-01-03 05:00:00,135.8,64.2,84.3,4.8,101.3,3.7,2.0,15.5,32.7,121.8,59.8,146.5
2018-01-03 06:00:00,130.7,64.8,83.9,5.0,103.9,4.1,2.0,15.6,32.5,121.8,62.3,145.8
2018-01-03 07:00:00,134.7,62.7,81.8,5.2,105.6,4.4,2.5,16.2,34.3,121.4,61.0,150.5
2018-01-03 08:00:00,153.6,64.0,74.0,5.3,99.2,4.1,3.0,18.0,33.4,122.8,63.5,155.8
2018-01-03 09:00:00,201.4,83.0,92.5,6.0,122.3,5.7,3.0,18.0,39.5,130.8,66.5,162.9
2018-01-03 10:00:00,271.3,83.1,92.0,5.8,120.9,7.5,3.0,18.3,45.8,133.5,68.9,166.0
2018-01-03 11:00:00,295.2,85.0,94.0,5.2,118.3,7.4,2.8,20.5,47.0,142.5,71.5,173.6
2018-01-03 12:00:00,296.1,85.5,96.5,6.0,119.0,7.4,2.9,20.0,49.5,153.5,71.0,173.9
2018-01-03 13:00:00,298.2,85.9,92.2,6.0,117.8,7.3,2.6,20.0,51.7,160.2,67.8,177.0
2018-01-03 14:00:00,295.8,81.5,93.8,5.5,118.2,7.2,2.4,19.9,51.8,155.2,68.5,179.5
2018-01-03 15:00:00,298.0,72.0,78.5,5.5,96.8,7.2,2.1,19.1,47.2,153.0,73.7,180.3
2018-01-03 16:00:00,301.5,82.3,88.7,5.7,116.0,7.1,2.0,18.9,45.3,156.6,74.6,178.3
2018-01-03 17:00:00,299.0,80.5,81.3,5.3,110.4,7.1,1.7,19.1,48.0,156.9,71.7,181.4
2018-01-03 18:00:00,280.0,77.7,81.3,5.2,106.1,7.0,1.8,17.4,47.3,158.0,64.2,183.8
2018-01-03 19:00:00,210.4,76.6,80.7,4.5,106.7,5.5,1.9,16.1,44.7,155.8,63.5,169.5
2018-01-03 20:00:00,136.0,72.9,80.0,4.8,108.0,4.0,1.6,15.9,44.0,143.7,65.3,164.3
2018-01-03 21:00:00,129.6,73.0,81.8,4.5,111.8,4.5,2.0,15.3,44.0,132.8,66.3,158.4
2018-01-03 22:00:00,131.2,56.8,67.0,4.5,93.2,3.8,1.9,15.2,41.7,129.8,66.0,158.0
2018-01-03 23:00:00,130.8,65.0,78.2,4.8,111.5,3.9,1.8,15.3,39.0,125.2,61.2,156.6
2018-01-04 00:00:00,129.7,65.2,79.2,4.7,105.8,4.1,1.7,15.5,40.6,122.5,61.3,153.9
2018-01-04 01:00:00,135.2,64.1,82.0,4.1,106.7,4.3,0.8,15.2,33.7,112.8,65.2,145.4
2018-01-04 02:00:00,125.8,50.7,72.0,4.2,92.7,3.7,0.7,15.2,28.5,108.0,59.2,145.4
2018-01-04 03:00:00,131.0,64.0,79.8,5.4,102.3,4.4,0.8,15.3,32.2,119.9,60.0,143.5
2018-01-04 04:00:00,130.2,65.2,77.7,4.8,102.8,4.0,1.2,15.5,32.0,118.8,61.6,143.7
2018-01-04 05:00:00,131.8,65.5,78.1,4.8,103.5,4.1,1.6,15.4,32.3,119.2,62.5,144.8
2018-01-04 06:00:00,134.7,65.3,79.4,4.5,106.0,4.2,1.2,15.5,32.2,118.1,58.2,146.8
2018-01-04 07:00:00,134.5,65.2,78.0,5.0,108.2,4.3,1.7,15.3,32.3,135.5,57.2,145.7
2018-01-04 08:00:00,146.3,72.1,79.3,5.2,110.3,4.0,2.0,15.2,35.0,117.7,58.5,147.3
2018-01-04 09:00:00,186.8,64.0,66.8,5.5,92.4,4.0,2.1,15.3,40.8,125.5,60.0,149.5
2018-01-04 10:00:00,240.5,77.0,78.4,5.5,110.0,4.0,2.2,15.0,36.5,131.7,66.0,149.9
2018-01-04 11:00:00,263.2,78.4,77.1,5.2,111.8,4.0,2.0,15.3,43.2,137.1,65.6,147.0
2018-01-04 12:00:00,266.8,76.3,79.7,5.5,112.2,4.4,2.0,15.9,43.3,134.7,62.9,147.0
2018-01-04 13:00:00,266.7,75.8,78.2,5.3,114.3,4.3,1.7,15.3,42.9,134.0,63.3,150.8
2018-01-04 14:00:00,267.8,75.9,79.8,5.3,114.7,4.0,1.8,16.0,43.1,134.8,66.5,153.5
2018-01-04 15:00:00,267.9,76.6,80.8,5.7,111.3,4.0,1.7,15.5,43.4,131.2,62.0,152.5
2018-01-04 16:00:00,267.3,68.2,70.0,5.2,103.0,4.2,1.8,15.7,43.0,127.0,65.2,154.3
