,temp,temp_min,temp_max,pressure,humidity
2013-01-01 00:00:00,271.07,269.82,273.15,1017.0,46.0
2013-01-01 01:00:00,270.61,269.26,272.15,1018.0,46.0
2013-01-01 02:00:00,270.11,268.71,272.15,1018.0,46.0
2013-01-01 03:00:00,270.03,268.15,272.15,1018.0,42.0
2013-01-01 04:00:00,270.03,268.15,272.15,1019.0,42.0
2013-01-01 05:00:00,269.65,267.59,271.15,1019.0,46.0
2013-01-01 06:00:00,269.26,268.71,270.37,1017.0,48.0
2013-01-01 07:00:00,269.22,267.15,271.15,1020.0,50.0
2013-01-01 08:00:00,269.22,267.15,271.15,1021.0,54.0
2013-01-01 09:00:00,268.71,266.15,271.15,1020.0,58.0
2013-01-01 10:00:00,268.54,265.15,272.15,1020.0,58.0
2013-01-01 11:00:00,268.53,265.15,272.15,1020.0,58.0
2013-01-01 12:00:00,268.6,265.15,272.15,1020.0,58.0
2013-01-01 13:00:00,269.34,266.15,272.15,1021.0,63.0
2013-01-01 14:00:00,270.82,269.15,273.15,1020.0,60.333333333333336
2013-01-01 15:00:00,272.22,271.15,273.15,1020.0,57.666666666666664
2013-01-01 16:00:00,273.36,271.15,274.82,1019.0,55.0
2013-01-01 17:00:00,274.0,272.15,275.93,1018.0,55.0
2013-01-01 18:00:00,274.84,273.15,275.93,1017.0,51.0
2013-01-01 19:00:00,275.34,274.15,276.15,1016.0,51.0
2013-01-01 20:00:00,275.26,274.15,276.15,1015.0,51.0
2013-01-01 21:00:00,274.87,273.71,276.15,1014.0,51.0
2013-01-01 22:00:00,274.08,272.15,276.15,1014.0,59.0
2013-01-01 23:00:00,274.68,273.15,277.15,1014.0,55.0
2013-01-02 00:00:00,275.25,273.71,277.15,1013.0,51.0
2013-01-02 01:00:00,275.33,274.15,277.15,1013.0,48.0
2013-01-02 02:00:00,275.26,274.15,277.15,1012.0,48.0
2013-01-02 03:00:00,275.34,274.15,277.15,1012.0,48.0
2013-01-02 04:00:00,275.12,274.15,277.15,1011.0,55.0
2013-01-02 05:00:00,275.06,273.15,277.15,1011.0,51.0
2013-01-02 06:00:00,275.49,274.15,277.15,1010.0,55.0
2013-01-02 07:00:00,275.7,274.15,277.15,1011.0,55.0
2013-01-02 08:00:00,275.62,274.15,277.15,1010.0,55.0
2013-01-02 09:00:00,275.77,274.26,277.15,1011.0,55.0
2013-01-02 10:00:00,275.92,274.26,277.15,1010.0,60.0
2013-01-02 11:00:00,275.92,274.26,277.15,1010.0,64.0
2013-01-02 12:00:00,275.69,274.26,277.15,1010.0,64.0
2013-01-02 13:00:00,275.96,274.82,277.15,1011.0,64.0
2013-01-02 14:00:00,276.23,275.15,277.15,1011.0,64.0
2013-01-02 15:00:00,276.85,275.15,278.15,1012.0,52.0
